,Pronostico_SARIMA,IC_Inferior,IC_Superior
2026-01-01,470978631091.28925,393841696214.07214,548115565968.50635
2026-02-01,274014754580.4788,196676834649.02878,351352674511.92883
2026-03-01,292889848668.0608,215550881383.95288,370228815952.1687
