Fecha,Real,Pronostico_Prophet,IC_Inferior,IC_Superior,Error_Abs,Error_Pct
2025-10-01,313009859577.27,264018495697.46323,246919488950.2075,283545617268.66296,48991363879.80679,-15.651699900434837
2025-11-01,273825294334.44,281894694633.26843,261121578292.43066,301960609622.5877,8069400298.82843,2.9469155939161578
2025-12-01,241029180476.59,240293912710.09402,222455004634.56064,260267288513.90356,735267766.4959717,-0.30505342342454866
