Fecha,Real,Pronostico_SARIMAX,IC_Inferior,IC_Superior,Error_Pct
2025-10-01,313009859577.27,261506329190.9421,202137246509.50922,338312514827.3297,-16.45428372636092
2025-11-01,273825294334.44,323099544671.11273,249747118966.90903,417996076184.9298,17.99477672668581
2025-12-01,241029180476.59,222930738058.5473,172319368678.98306,288407010496.2914,-7.508817970611036
