Rank,Modelo,Tipo,Parámetros,MAPE,RMSE_MM,MAE_MM
1,XGBoost,Gradient Boosting,Optuna-tuned,3.36,10.4,9.4
2,Chronos-T5,Foundation (zero-shot),200M,8.12,31.3,24.0
