Modelo,MAPE_%,RMSE_B,MAE_B,Cobertura_IC80_%,Cobertura_IC50_%
XGBoost Quantile (P50),7.337603325982174,20.599707673129387,20.181685606766674,66.66666666666666,66.66666666666666
NGBoost (Normal),4.14060041400899,12.400574944992698,11718642223.470816,0.0,0.0
