Rank,Config,Variables,N_vars,MAPE,RMSE_MM,MAE_MM
1,IPC + Consumo,"IPC, Consumo_Hogares",2,6.301222972591848,28.669435377970142,19.265343981710398
2,Consumo_Hogares,Consumo_Hogares,1,7.429481808855634,34.7235238997303,22.686052105398254
3,IPC,IPC,1,7.703269814690453,28.108178787180723,22.66314556697118
4,Base (sin exógenas),Ninguna,0,8.035454147013883,32.73740582130584,23.992517915965404
5,Macro completo (4 vars),"IPC, Salario_Minimo, UPC, Consumo_Hogares",4,10.634054934109967,30.12620630370767,29.604197330484833
