Feature,Gain,Gain_pct
Lag_12,0.12345527112483978,48.42122430419103
Diff_1,0.06527606397867203,25.60236518706284
MA_3,0.02707376331090927,10.6187832572209
Diff_12,0.01649506576359272,6.469640963678551
Mes,0.006361327134072781,2.4950190074897423
Mes_sin,0.0031629824079573154,1.240574657124509
Trend,0.003066923003643751,1.2028985504632506
Lag_2,0.0022480059415102005,0.8817055678485177
MA_12,0.002215273678302765,0.8688674261935668
Lag_1,0.00157878827303648,0.6192271937924918
Salario_Minimo,0.0011509449686855078,0.4514198865931446
MA_6,0.0011108762118965387,0.4357042493231344
UPC,0.0008915246580727398,0.34967089738602175
Mes_cos,0.0008742585778236389,0.3428988516322973
